                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4883,                 2.9978,                 1.5249,                0.40046,                0.35424,                0.30956,                0.20022,                 1.6275,                 2.6155,                 1.5234,             0.00033077,             0.00033077,             0.00033077
                      2,                 1.4628,                 2.3179,                 1.4737,                0.44029,                0.33849,                0.32751,                  0.208,                 1.6603,                 2.8333,                 1.6055,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.5079,                 2.1321,                 1.4702,                0.37235,                0.40169,                0.35683,                  0.233,                 1.6281,                 2.1812,                 1.6206,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.4694,                 1.9617,                 1.4582,                0.38938,                0.42717,                0.34427,                0.21638,                 1.6605,                 2.3214,                 1.6004,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4556,                 1.8579,                 1.4344,                 0.3908,                0.46138,                0.39565,                0.25458,                 1.5851,                 1.8988,                 1.5487,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.4167,                 1.7698,                 1.4188,                0.36785,                0.46826,                0.37926,                0.23909,                 1.5993,                 2.2216,                 1.5385,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.3766,                 1.7147,                 1.4126,                0.45071,                0.49691,                0.43315,                0.28608,                   1.58,                 2.1544,                 1.5231,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.3902,                 1.6773,                 1.4107,                 0.4693,                0.47259,                 0.4362,                0.29014,                 1.5443,                 1.8304,                 1.4961,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.3963,                 1.6441,                 1.3973,                0.49421,                0.47735,                0.45437,                0.29987,                 1.5445,                 1.7589,                 1.4817,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.3681,                 1.5914,                 1.3954,                0.48148,                0.44594,                0.44038,                0.28847,                 1.5769,                 1.8549,                 1.5246,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.3529,                 1.5615,                 1.3927,                0.51247,                0.48393,                0.46573,                 0.3065,                 1.5277,                   1.76,                 1.4943,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.3308,                 1.5156,                 1.3753,                 0.4901,                0.52135,                0.48063,                0.32061,                 1.5128,                 1.6607,                 1.4614,               0.000901,               0.000901,               0.000901
                     13,                 1.3484,                 1.5398,                 1.3802,                0.52117,                0.47859,                0.47694,                0.31855,                 1.5213,                 1.6949,                 1.4905,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.3277,                  1.487,                 1.3584,                 0.5817,                0.46038,                0.47766,                0.31246,                 1.5167,                 1.6939,                 1.4621,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.3454,                  1.509,                 1.3765,                0.50653,                0.47589,                0.47205,                0.31072,                  1.513,                 1.6941,                 1.4672,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.3635,                 1.4765,                 1.3747,                0.48813,                0.52614,                0.49375,                0.32398,                 1.5004,                 1.6089,                 1.4712,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.3237,                 1.4819,                 1.3537,                0.47885,                0.49987,                0.47605,                0.31629,                 1.5119,                 1.6443,                 1.4832,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.3038,                 1.4369,                  1.348,                0.53019,                0.50339,                0.48184,                0.32329,                 1.4885,                 1.6303,                 1.4467,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.3072,                 1.4178,                 1.3458,                0.59509,                 0.4792,                0.50212,                0.33739,                  1.501,                  1.573,                 1.4451,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.3019,                 1.4053,                  1.359,                0.55965,                0.48925,                0.49831,                0.33605,                 1.4793,                 1.5355,                 1.4635,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.2944,                  1.387,                 1.3419,                0.53421,                0.47934,                0.48317,                0.32303,                 1.4936,                 1.6091,                 1.4619,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.2704,                 1.3774,                 1.3255,                0.54314,                0.48926,                0.46411,                0.30551,                 1.4989,                 1.6797,                 1.4734,               0.000802,               0.000802,               0.000802
                     23,                 1.2988,                 1.3607,                 1.3292,                0.50903,                 0.4803,                0.45093,                0.30126,                 1.4936,                 1.6768,                 1.4461,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.2827,                 1.3972,                 1.3486,                0.54369,                0.45937,                0.47783,                0.31828,                 1.4755,                 1.6016,                 1.4365,              0.0007822,              0.0007822,              0.0007822
                     25,                  1.273,                 1.3412,                 1.3214,                0.61109,                0.49456,                0.51615,                 0.3484,                 1.4952,                 1.5427,                 1.4497,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.2823,                  1.338,                 1.3319,                 0.5425,                0.52649,                 0.4979,                0.33501,                 1.4807,                 1.5732,                 1.4507,              0.0007624,              0.0007624,              0.0007624
                     27,                  1.278,                 1.3136,                 1.3271,                0.53682,                0.49819,                0.50197,                0.34024,                 1.4624,                 1.5125,                 1.4405,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.2639,                 1.3423,                 1.3231,                0.54186,                 0.4853,                0.50044,                0.32872,                 1.4704,                 1.6263,                 1.4343,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.2609,                 1.2861,                 1.3164,                0.53249,                0.51514,                0.50216,                0.33104,                 1.4835,                 1.5277,                 1.4379,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.2395,                 1.2919,                 1.3105,                0.48667,                0.50597,                0.49381,                 0.3288,                 1.4845,                 1.6028,                 1.4317,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.2526,                  1.248,                 1.3126,                0.51067,                0.50135,                0.47701,                0.31843,                 1.4779,                 1.5962,                 1.4387,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.2747,                 1.3125,                 1.3368,                0.53216,                0.50508,                0.48705,                0.32763,                 1.4652,                 1.5773,                 1.4393,               0.000703,               0.000703,               0.000703
                     33,                 1.2555,                  1.241,                 1.3185,                0.53863,                0.50394,                0.49577,                0.33525,                 1.4655,                 1.5696,                 1.4329,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.2669,                 1.2861,                 1.3159,                0.61827,                0.49001,                 0.5224,                 0.3467,                 1.4779,                 1.4953,                 1.4283,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.2368,                 1.2352,                 1.3056,                0.56661,                0.51417,                0.50671,                0.33416,                  1.486,                 1.5523,                 1.4484,              0.0006733,              0.0006733,              0.0006733
